,time,FA,FB,FANB,FBNA,FAFB
167,2019-04-21 23:00:00,91513,14518,86849,9990,4516
168,2019-04-22 00:00:00,92241,14520,87559,9975,4533
169,2019-04-22 01:00:00,92704,14529,88012,9974,4543
170,2019-04-22 02:00:00,92951,14530,88256,9972,4546
171,2019-04-22 03:00:00,93105,14531,88404,9967,4552
172,2019-04-22 04:00:00,93186,14532,88481,9964,4556
173,2019-04-22 05:00:00,93233,14532,88528,9964,4556
174,2019-04-22 06:00:00,93294,14533,88588,9964,4557
175,2019-04-22 07:00:00,93541,14538,88828,9962,4564
176,2019-04-22 08:00:00,93985,14543,89261,9962,4569
177,2019-04-22 09:00:00,94758,14547,90024,9959,4576
178,2019-04-22 10:00:00,95422,14550,90680,9954,4584
179,2019-04-22 11:00:00,95985,14555,91229,9949,4594
180,2019-04-22 12:00:00,96395,14556,91631,9944,4600
181,2019-04-22 13:00:00,96858,14558,92087,9941,4605
182,2019-04-22 14:00:00,97435,14560,92655,9935,4613
183,2019-04-22 15:00:00,97800,14563,93014,9932,4619
184,2019-04-22 16:00:00,98065,14564,93276,9931,4621
185,2019-04-22 17:00:00,98374,14566,93581,9930,4624
186,2019-04-22 18:00:00,98617,14567,93820,9928,4627
187,2019-04-22 19:00:00,98912,14569,94107,9925,4632
188,2019-04-22 20:00:00,99171,14592,94359,9941,4639
189,2019-04-22 21:00:00,99478,14605,94662,9951,4642
190,2019-04-22 22:00:00,99805,14614,94986,9957,4645
191,2019-04-22 23:00:00,100617,14985,95381,9915,5058
192,2019-04-23 00:00:00,101378,15175,95934,9898,5265
